모델명,연료,트림,가격
코나 (SX2),가솔린,1.6 터보 2WD,2490
그랜저 하이브리드 (GN7),가솔린+전기,캘리그래피,4599
카니발 4세대,가솔린,9인승 하이리무진,4990
벨로스터 (JS),가솔린,1.6 터보 스포츠,1420
팰리세이드,가솔린,3.8 2WD,3119
GV80,디젤,3.0  AWD,6350
G70,가솔린,2.0T,2990
더 넥스트 스파크,가솔린,LTZ,770
싼타페 TM,디젤,2.2 4WD,2040
올 뉴 쏘렌토,디젤,2.0 2WD,1220
트래버스,가솔린,3.6 AWD 레드라인,2390
더 뉴 쏘렌토 4세대,가솔린+전기,HEV 1.6 4WD,9990
스팅어,가솔린,2.0 터보 2WD,2750
더 뉴 스포티지 R,디젤,2WD 트렌디,720
GV80,디젤,3.0  AWD,3860
더 넥스트 스파크,가솔린,LT,450
그랜저 HG,LPG,LPG HG300 프리미엄,759
그랜드 스타렉스,디젤,4WD 어린이보호차,1750
K7 프리미어 하이브리드,가솔린+전기,시그니처,2870
그랜저 IG,가솔린,2.4 프리미엄,1250
G70,가솔린,2.0T,2180
더 뉴 QM6,LPG,2.0 LPe RE 2WD,1490
쏘나타 (DN8),가솔린,2,1990
더 뉴 i40,디젤,1.7 VGT,930
QM6,가솔린,2WD RE,1400
크루즈5,디젤,2.0 LTZ+,390
그랜저 HG,가솔린,HG240 모던,949
그랜드 스타렉스,디젤,5인승 밴,650
K5 3세대,가솔린,2,2150
그랜저 (GN7),가솔린,3.5  4WD,4190
캐스퍼,가솔린,터보 인스퍼레이션,1680
G90,가솔린,3.8 AWD,4490
더 뉴 레이,가솔린,트렌디,780
G80 (RG3),가솔린,2.5 터보 AWD,4680
쏘나타 뉴 라이즈,LPG,LPI 모던,1460
SM3 네오,디젤,SE,440
더 뉴 카니발,디젤,9인승 하이리무진,1990
렉스턴 스포츠,디젤,2.2 4WD,1490
더 뉴 코나 하이브리드,가솔린+전기,모던,1849
그랜저 (GN7),가솔린,2.5  2WD,4299
아반떼 (CN7),가솔린,1.6,1400
더 뉴 K3 2세대,가솔린,1.6,1500
G80 (RG3),가솔린,2.5 터보 AWD,4700
니로,가솔린+전기,노블레스,1299
아반떼 HD,가솔린,1.6 VVT S16,450
쏘나타 뉴 라이즈,가솔린,2.0 스마트 스페셜,1390
K7 프리미어,가솔린,2.5 GDI 노블레스,1795
더 뉴 기아 레이,가솔린,시그니처,1680
더 뉴 기아 레이,가솔린,프레스티지,1490
더 뉴 K5 2세대,가솔린,2,1250
K8 하이브리드,가솔린+전기,시그니처,3120
스포티지 4세대,디젤,2.0 2WD 노블레스,1329
아반떼 AD,가솔린,1.6 GDI 밸류 플러스,730
마스터,디젤,2.3 밴 S,2290
그랜드 스타렉스,디젤,12인승 왜건,1390
더 뉴 레이,가솔린,스탠다드,970
QM6,가솔린,2WD RE,1390
G70,가솔린,3.3T 스포츠 AWD,2560
더 뉴 모닝,가솔린+LPG,바이퓨얼 스마트,370
그랜저 IG,가솔린,2.4 프리미엄,1390
제네시스 쿠페,가솔린,380 GT-R,795
스포티지 4세대,디젤,2.0 2WD 프레스티지,1139
올 뉴 K7,디젤,2.2  프레스티지,830
G90,가솔린,3.8 AWD,4290
QM5 네오,가솔린,2WD LE,499
G70,가솔린,2.0T,2499
뉴SM5 플래티넘,가솔린,LE,450
더 뉴 아반떼 AD,LPG,1.6 LPi,1030
스타리아,LPG,L3.5 투어러 9인승,2570
더 뉴 셀토스,가솔린,1.6 터보 2WD,2750
K8,가솔린,2.5  2WD,3030
더 뉴 쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,5250
코나,가솔린,1.6 터보 2WD,1550
쏘렌토 4세대,가솔린+전기,HEV 1.6 4WD,3670
티볼리,가솔린,VX 2WD,499
디 올 뉴 니로,가솔린+전기,프레스티지,2550
더 뉴 K8 하이브리드,가솔린+전기,시그니처,5290
셀토스,디젤,1.6 4WD,1830
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,3099
싼타페 TM,가솔린,2.0T 2WD,2250
쏘나타 (DN8),가솔린,1.6 터보,1870
더 뉴 카니발,디젤,9인승 노블레스 스페셜,1990
싼타페 TM,가솔린,2.0T 2WD,2530
팰리세이드,가솔린,3.8 4WD,3320
아반떼 AD,가솔린,1.6 GDI 모던,1050
All New 마티즈,가솔린,SX,110
LF 쏘나타,가솔린,2.0 스마트,900
올 뉴 모닝,가솔린,럭셔리,290
GV80,가솔린,2.5T  2WD,4499
K8 하이브리드,가솔린+전기,노블레스,2230
말리부,디젤,2.0  LT 프리미엄팩,495
맥스크루즈,디젤,2.2 4WD 익스클루시브,1150
K7 프리미어,가솔린,2.5 GDI 프레스티지,9999
더 뉴 K3,가솔린,디럭스,680
SM6,LPG,2.0 LPe RE,1306
QM3,디젤,LE,490
더 뉴 K7,가솔린,2.4 GDI 프레스티지 스페셜,645
에쿠스(신형),가솔린,VS460,399
셀토스,가솔린,1.6 터보 2WD,1590
렉스턴 스포츠 칸,디젤,2.2 4WD,2200
더 뉴 그랜저 IG 하이브리드,가솔린+전기,프리미엄 초이스,2450
스포티지 5세대 하이브리드,가솔린+전기,시그니처 2WD,2880
QM6,가솔린,2WD RE 시그니처,1520
GV70,가솔린,2.5T  2WD,5390
더 뉴 카니발 4세대,디젤,7인승 그래비티,5650
싼타페 (MX5),가솔린,2.5T 2WD,3790
더 뉴 아반떼 (CN7),가솔린,1.6,1820
LF 쏘나타,LPG,LPI 스마트,630
더 뉴 모하비,디젤,3.0 4WD,2490
코란도 스포츠,디젤,CX5 2WD,330
올 뉴 카니발,디젤,9인승 하이리무진,2290
올 뉴 말리부,가솔린,2.0 터보 퍼펙트 블랙,830
K8 하이브리드,가솔린+전기,시그니처,3480
캐스퍼,가솔린,터보 디 에센셜,1600
모닝 어반 (JA),가솔린,프레스티지,1030
디 올 뉴 니로 EV,전기,어스,9999
더 뉴 아반떼,디젤,1.6 VGT 모던,490
K3,디젤,프레스티지,590
쏘나타 뉴 라이즈,LPG,LPI 프리미엄,1580
벨로스터,가솔린,DCT팩,480
그랜저 하이브리드 (GN7),가솔린+전기,프리미엄,4120
더 뉴 K9 2세대,가솔린,3.8 GDI AWD,4550
더 뉴 카니발 4세대,디젤,9인승 프레스티지,3800
더 뉴 K3 2세대,가솔린,1.6,1930
카니발 4세대,디젤,9인승 프레스티지,9999
더 뉴 그랜드 스타렉스,디젤,밴 3인승,1690
G70,가솔린,3.3T 스포츠,2349
티볼리,가솔린,LX 2WD,850
말리부,가솔린,2.0 LT 디럭스팩,580
더 뉴 모하비,디젤,3.0 4WD,2450
K5 2세대,가솔린,2.0 MX,1150
스포티지 4세대,디젤,2.0 2WD 노블레스,920
싼타페 TM,디젤,2.0 4WD,2250
더 K9,가솔린,3.3 T-GDI AWD,2400
팰리세이드,디젤,2.2 2WD,2790
쏘나타 (DN8),LPG,2.0 LPG,1999
쏘나타 하이브리드,가솔린+전기,2,549
그랜저 HG,가솔린,HG240 모던,760
XM3,가솔린,1.3 TCe RE 시그니처,1630
아이오닉5,전기,롱레인지,3180
그랜저 (GN7),LPG,3.5 LPG 2WD,3100
K5 3세대,가솔린,1.6 터보,2350
액티언 2세대,가솔린,1.5 4WD,3420
모하비 더 마스터,디젤,3.0 4WD 5인승,3290
QM6,디젤,2WD LE,720
모하비 더 마스터,디젤,3.0 4WD 7인승,3450
더 뉴 K3,가솔린,트렌디,790
쏘나타 (DN8),가솔린,1.6 터보,1580
더 뉴 쏘렌토,가솔린,2.0 터보 2WD,2380
스타리아,디젤,카고 5인승,2250
더 뉴 쏘렌토,디젤,2.2 2WD,2150
뉴SM3,가솔린,LE 플러스,200
그랑 콜레오스,가솔린+전기,1.5 E-TECH 아이코닉 2WD,4150
더 뉴 투싼 하이브리드 (NX4),가솔린+전기,HEV 1.6 4WD,3190
레이,가솔린,프레스티지,680
스팅어,가솔린,2.0 터보 2WD,2865
더 뉴 QM6,LPG,2.0 LPe RE 시그니처 2WD,1750
카니발 4세대,디젤,7인승 시그니처,4080
쏘나타 하이브리드 (DN8),가솔린+전기,인스퍼레이션,2330
SM6,가솔린,2.0 GDe RE,700
더 뉴 K5,LPG,LPI 럭셔리,940
G80,가솔린,3.3 GDI,2260
카니발 4세대,가솔린,9인승 시그니처,3400
제네시스 DH,가솔린,G330 모던 AWD,759
SM3 네오,가솔린,RE,359
더 뉴 레이,가솔린,밴,700
스파크,가솔린,스파크 S,399
모하비 더 마스터,디젤,3.0 4WD 6인승,4980
올 뉴 크루즈,가솔린,1.4 터보 LTZ,699
더 뉴 쏘렌토,디젤,2.0 2WD,1690
카니발 4세대,디젤,7인승 노블레스,2430
그랜저 HG,가솔린,HG240 럭셔리,770
G80 (RG3),가솔린,3.5 터보 2WD,3390
투싼 (NX4),가솔린,1.6 터보 2WD,2900
더 뉴 레이,가솔린,밴,750
모하비 더 마스터,디젤,3.0 4WD 6인승,3550
캐스퍼,가솔린,터보 디 에센셜,1590
뉴SM3,가솔린,PE,290
더 뉴 QM6,가솔린,2.0 GDe RE 시그니처 2WD,2020
올 뉴 투싼,디젤,2.0 2WD,1570
더 뉴 아반떼,가솔린,1.6 GDi 스타일,850
에쿠스,가솔린,JL380 리무진,500
K5 3세대,가솔린,2,1650
LF 쏘나타,가솔린,2.0 스타일,830
올 뉴 카니발,디젤,7인승 리무진,730
엑센트(신형),가솔린,1.4 VVT 모던,489
카니발 4세대,디젤,9인승 프레스티지,2040
그랜저 IG,가솔린,2.4 프리미엄,1370
스포티지 4세대,디젤,2.0 2WD 노블레스,1450
EQ900,가솔린,3.8 GDI AWD,2200
그랜드 스타렉스,디젤,5인승 밴,830
아반떼 AD,가솔린,1.6 GDI 밸류 플러스,1070
더 뉴 카니발,디젤,9인승 노블레스,2200
올 뉴 K7,가솔린,2.4 GDI 프레스티지,1250
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,4270
EQ900,가솔린,3.3 T-GDI AWD,1790
쏘렌토 4세대,가솔린,2.5T 4WD,4090
더 뉴 그랜저 IG,가솔린,2.5,1989
스파크,가솔린,밴,290
더 뉴 기아 레이,가솔린,시그니처,1699
쏘나타 (DN8),가솔린,1.6 터보,2230
스포티지 4세대,디젤,1.7 2WD 노블레스,2222
K5,가솔린,2.0 트렌디,570
더 뉴 싼타페,디젤,2.2 2WD,2200
그랜드 스타렉스,LPG,어린이보호차 LPi,1750
스파크,가솔린,LS,280
투싼 ix,디젤,2WD LX20,590
티볼리,디젤,LX 2WD,730
쏘나타 뉴 라이즈,가솔린,1.6 터보 스마트,1540
그랜저 하이브리드 (GN7),가솔린+전기,프리미엄,4230
더 뉴 K3 2세대,가솔린,1.6,1299
EQ900,가솔린,3.8 GDI AWD,1339
G80 (RG3),가솔린,2.5 터보 2WD,3760
더 뉴 K3 2세대,가솔린,1.6,9999
더 뉴 레이,가솔린,프레스티지,890
아반떼 MD,LPG,LPI M16 디럭스,465
그랜저 HG,가솔린,HG300 프라임,470
싼타페 TM,디젤,2.2 4WD,2380
더 뉴 기아 레이 EV,전기,에어,1935
스파크,가솔린,LT,260
G80,가솔린,3.8 GDI,1779
그랜저 HG 하이브리드,가솔린+전기,프리미엄,800
쏘렌토 4세대,가솔린+전기,HEV 1.6 4WD,2700
모하비 더 마스터,디젤,3.0 4WD 6인승,2990
제네시스 쿠페,가솔린,200 터보 P,350
G80 (RG3),가솔린,2.5 터보 AWD,3590
더 뉴 모닝,가솔린,럭셔리,630
아반떼 (CN7),가솔린,1.6,1790
올 뉴 모닝,가솔린+LPG,바이퓨얼 스마트 트렌디,9999
더 뉴 말리부,가솔린,1.3 터보 프리미어,1460
스타리아,디젤,카고 3인승,2349
올 뉴 말리부,가솔린,1.5 터보 퍼펙트 블랙,1190
그랜저 하이브리드 (GN7),가솔린+전기,캘리그래피,4149
스타리아,디젤,카고 3인승,2449
LF 쏘나타,가솔린,2.0 스마트,799
올 뉴 K3,가솔린,프레스티지,1550
더 뉴 카니발,디젤,9인승 노블레스 스페셜,2150
K5 3세대,가솔린,1.6 터보,2070
올 뉴 K7,가솔린,3.3 GDI 리미티드 에디션,1130
올 뉴 K3,가솔린,프레스티지,1290
그랜저 IG,LPG,3.0 LPi 장애인용,1290
아반떼 MD,가솔린,M16 GDI 럭셔리,390
G80 (RG3),가솔린,3.5 터보 AWD,4350
스타리아,디젤,카고 3인승,2549
올 뉴 K3,가솔린,럭셔리,980
스토닉,디젤,1.6,960
아반떼 AD,가솔린,1.6 GDI 스마트,750
올 뉴 카니발,디젤,9인승 럭셔리,1169
K5 하이브리드 3세대,가솔린+전기,노블레스,2690
디 올 뉴 니로,가솔린+전기,시그니처,3100
팰리세이드,디젤,2.2 4WD,6280
올 뉴 K7,디젤,2.2  프레스티지,1670
더 뉴 카니발 4세대,디젤,9인승 시그니처,4550
아반떼 MD,가솔린,M16 GDI 럭셔리,800
더 뉴 쏘렌토,디젤,2.2 2WD,9999
스포티지 더 볼드,디젤,1.6 2WD,1870
쏘나타 (DN8),가솔린,2,1620
GV70,가솔린,2.5T  AWD,5599
더 뉴 그랜드 스타렉스,디젤,밴 3인승,1989
모하비 더 마스터,디젤,3.0 4WD 7인승,3290
K7 프리미어 하이브리드,가솔린+전기,시그니처,2290
쏘울 부스터 EV,전기,노블레스,2750
스포티지 5세대,가솔린,1.6 터보 2WD,2999
K7 프리미어 하이브리드,가솔린+전기,노블레스,2899
EV6,전기,롱레인지 4WD,4390
쏘나타 (DN8),가솔린,1.6 터보,2290
더 뉴 레이,가솔린,밴,690
더 뉴 레이,가솔린,럭셔리,890
더 뉴 싼타페,디젤,2.2 2WD,2190
카니발 4세대,디젤,9인승 하이리무진,4370
크루즈,가솔린,1.4 터보 LT+ 래더패키지,450
QM6,디젤,2WD RE,1230
스타리아,디젤,카고 5인승,2590
더 뉴 K9 2세대,가솔린,3.3 T-GDI AWD,4150
셀토스,가솔린,1.6 터보 2WD,2050
그랜저 IG,가솔린,3.0 익스클루시브,2590
모닝 어반 (JA),가솔린,프레스티지,950
투싼 하이브리드 (NX4),가솔린+전기,인스퍼레이션 2WD,3610
뉴코란도 C,디젤,2.0 CVT 2WD,339
더 뉴 레이,가솔린,스탠다드,950
더 뉴 쏘렌토,디젤,2.2 2WD,2240
캐스퍼,가솔린,인스퍼레이션,1180
올 뉴 투싼,디젤,2.0 2WD,1490
트랙스 크로스오버,가솔린,1.2 ACTIV,2390
그랜드 스타렉스,디젤,5인승 밴,980
카니발 4세대,디젤,7인승 시그니처,3800
GV80,디젤,3.0  AWD,4300
쏘나타 뉴 라이즈 하이브리드,가솔린+전기,모던,1590
더 뉴 레이,가솔린,베스트 셀렉션,1309
올 뉴 모닝,가솔린,디럭스 스페셜,280
아반떼 하이브리드 (CN7),가솔린+전기,스마트,1499
티볼리,디젤,VX 2WD,1000
K7,가솔린,VG270 럭셔리,550
그랜저 HG,가솔린,HG240 모던,990
제네시스 DH,가솔린,G330 프리미엄,1150
G4 렉스턴,디젤,2.2 2WD,1500
디 올 뉴 니로,가솔린+전기,프레스티지,2555
K8,가솔린,2.5  2WD,9999
카니발 4세대,디젤,9인승 노블레스,2900
그랜저 (GN7),가솔린,3.5  2WD,9999
더 뉴 그랜저 IG,가솔린,2.5,2990
쏘렌토 4세대,가솔린+전기,HEV 1.6 4WD,4130
레이,가솔린+LPG,프레스티지 바이퓨얼,690
뉴 스타일 코란도 C,디젤,2.2 익스트림 2WD,950
올 뉴 K3,가솔린,럭셔리,1200
올 뉴 쏘렌토,디젤,2.0 2WD,1650
더 뉴 모닝,가솔린,럭셔리,590
올 뉴 카니발,디젤,9인승 하이리무진,2490
EQ900,가솔린,3.8 GDI AWD,1499
SM7 노바,LPG,LPLI 2.0 LPe 장애인용,890
스포티지 더 볼드,디젤,2.0 2WD,2100
더 넥스트 스파크,가솔린,LT,380
뉴코란도 C,디젤,2.0 어드벤처 60th 에디션 2WD,470
뉴SM5(신형),가솔린,SE 플러스,400
더 뉴 K9 2세대,가솔린,3.3 GDI AWD,3800
아반떼 MD,가솔린,M16 GDI 에비뉴,440
그랜저 하이브리드 (GN7),가솔린+전기,캘리그래피,3790
그랜저 HG,LPG,LPG HG300 장애인용,830
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,3090
SM3 네오,가솔린,RE,530
올 뉴 카니발,디젤,7인승 리무진,1530
아반떼 (CN7),가솔린,1.6,1650
더 뉴 카니발 4세대,가솔린+전기,HEV 9인승 하이리무진,6380
G70,가솔린,3.3T 스포츠 AWD,2950
셀토스,가솔린,1.6 터보 4WD,2270
그랜저 HG,가솔린,HG240 모던 컬렉션,640
티볼리,가솔린,VX 2WD,990
스타리아,디젤,4WD 라운지 9인승,5740
SM6,LPG,2.0 LPe LE,690
모닝 어반 (JA),가솔린,프레스티지,1049
K5 3세대,가솔린,1.6 터보,2290
더 뉴 렉스턴 스포츠 칸,디젤,2.2 4WD,2999
더 뉴 아반떼 (CN7),LPG,1.6 LPi,2099
LF 쏘나타,가솔린,2.0 스마트,790
더 뉴 렉스턴 스포츠,디젤,2.2 2WD,3430
아반떼 AD,가솔린,1.6 GDI 프리미엄,999
그랜저 IG,가솔린,2.4 프리미엄,2090
팰리세이드,가솔린,3.8 4WD,2650
트랙스 크로스오버,가솔린,1.2 RS,2450
아이오닉5,전기,롱레인지 AWD,4430
더 뉴 QM6,가솔린,2.0 GDe RE 시그니처 2WD,1990
싼타페 더 프라임,디젤,2.0 2WD,1470
GV80,가솔린,3.5T  AWD,5599
투싼 (NX4),디젤,2.0 2WD,2150
코나,디젤,1.6 2WD,1055
뉴SM3,가솔린,PE,350
G80 (RG3),가솔린,2.5 터보 AWD,4199
XM3,가솔린,1.6 GTe LE,1220
G80 (RG3),가솔린,2.5 터보 AWD,4530
더 뉴 레이,가솔린,트렌디,1050
더 뉴 K7,가솔린,2.4 GDI 프레스티지 스페셜,655
더 K9,가솔린,3.8 GDI AWD,3590
더 뉴 레이,가솔린,스탠다드,1230
뉴SM5(신형),LPG,LPLI LE,280
카니발 4세대,디젤,9인승 노블레스,2470
제네시스 DH,가솔린,G330 프리미엄 AWD,1850
G80,가솔린,3.3 GDI AWD,1730
싼타페 더 프라임,디젤,2.0 2WD,1450
아반떼 (CN7),가솔린,1.6,1270
뉴SM3,가솔린,LE,290
더 뉴 K3,가솔린,트렌디,860
올란도,디젤,2.0  LTZ,250
GV80,디젤,3.0  2WD,3950
팰리세이드,디젤,2.2 2WD,3390
올란도,디젤,2.0  LTZ,529
더 뉴 K3,가솔린,트렌디,1130
그랜저 (GN7),가솔린,3.5  4WD,9999
모하비 더 마스터,디젤,3.0 4WD 6인승,5980
아반떼 (CN7),가솔린,2.0 N,2650
더 뉴 트레일블레이저,가솔린,1.3 터보 4WD,2807
K7 프리미어,가솔린,2.5 GDI 프레스티지,2350
카니발 R,디젤,그랜드 카니발 GLX,520
카니발 4세대,디젤,9인승 시그니처,2150
더 뉴 K3 2세대,가솔린,1.6 터보 GT 5도어,2690
레이,가솔린,프레스티지,685
더 뉴 카니발,디젤,9인승 하이리무진,2940
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,4190
스토닉,디젤,1.6,1050
K5 2세대,가솔린,2.0 SX,1190
G90 (RS4),가솔린,3.5 터보 e-S/C AWD LWB,9950
더 뉴 제네시스 쿠페,가솔린,380 GT-R,680
더 뉴 카마로,가솔린,SS 6.2 V8,3999
올 뉴 K3,가솔린,럭셔리,1180
더 뉴 그랜저 IG,가솔린,2.5,2770
스파크,LPG,LPG LT,180
티볼리,가솔린,VX 2WD,1050
더 뉴 아반떼 AD,가솔린,1.6,1320
K3,가솔린,럭셔리,9999
티볼리 에어,가솔린,1.5 A3 2WD,1180
그랜저 HG,LPG,LPG HG300 장애인용,520
트랙스,가솔린,1.4 LTZ,320
카니발 4세대,가솔린,7인승 시그니처,3415
올 뉴 카니발,디젤,9인승 프레스티지,1240
그랑 콜레오스,가솔린+전기,1.5 E-TECH 에스프리 알핀 2WD,4190
K5 하이브리드,가솔린+전기,500h 프레스티지,640
아반떼 AD,가솔린,1.6 GDI 밸류 플러스,1190
더 뉴 쏘렌토,디젤,2.2 4WD,2245
더 뉴 레이,가솔린,밴,620
그랜저 IG 하이브리드,가솔린+전기,익스클루시브,2550
아반떼 MD,가솔린,M16 GDI 럭셔리,350
스타리아,디젤,4WD 투어러 11인승,2710
아반떼 (CN7),가솔린,1.6,1420
쏘렌토 4세대,가솔린+전기,HEV 1.6 4WD,3900
K5 3세대,가솔린,2,1795
카니발 4세대,디젤,11인승 프레스티지,2380
제네시스 DH,가솔린,G330 프리미엄 AWD,1590
EQ900,가솔린,3.8 GDI AWD,2790
더 뉴 셀토스,가솔린,1.6 터보 2WD,2450
모하비 더 마스터,디젤,3.0 4WD 6인승,5660
더 뉴 레이,가솔린,프레스티지,1050
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,2780
K5 3세대,가솔린,2,1770
SM6,가솔린,2.0 GDe LE,715
더 뉴 모하비,디젤,3.0 4WD,2890
아반떼 AD,가솔린,1.6 GDI 스마트,930
K8,LPG,3.5 LPG 2WD,1500
더 뉴 QM6,가솔린,2.0 GDe 볼드에디션,1450
K8 하이브리드,가솔린+전기,시그니처,3890
아이오닉5,전기,롱레인지,3395
그랜저 IG,가솔린,3.0 익스클루시브,1380
스포티지 5세대,가솔린,1.6 터보 2WD,1899
더 뉴 카니발,디젤,7인승 리무진,2448
아반떼 쿠페,가솔린,2.0 GDi 프리미엄,640
뉴모닝,가솔린,LX,165
그랜저 IG,가솔린,3.0 익스클루시브,1990
QM6,가솔린,2WD LE,940
EQ900,가솔린,3.8 GDI,2790
i40,디젤,1.7 VGT,675
액티언 2세대,가솔린,1.5 4WD,3290
더 뉴 그랜드 스타렉스,디젤,밴 3인승,1750
레이,가솔린,프레스티지,630
크루즈,가솔린,1.8 LT+ 레더 패키지,470
레이,가솔린,터보 프레스티지,650
그랑 콜레오스,가솔린+전기,1.5 E-TECH 아이코닉 2WD,3945
GV80,가솔린,2.5T  2WD,6690
QM6,디젤,4WD RE 시그니처,1430
카니발 4세대,디젤,9인승 노블레스,3220
GV80,디젤,3.0  AWD,5320
더 뉴 렉스턴 스포츠 칸,디젤,2.2 2WD,2790
더 뉴 그랜저 IG,가솔린,2.5,2250
어메이징 뉴 크루즈5,가솔린,1.4 터보 LTZ,650
더 뉴 스파크,가솔린,LT,700
그랜저 하이브리드 (GN7),가솔린+전기,프리미엄,3850
아반떼 (CN7),가솔린,1.6 터보 N Line,2220
더 뉴 SM6,가솔린,1.8 TCe 프리미에르,2130
쏘나타 (DN8),가솔린,2,1920
레이,가솔린,디럭스 스페셜,360
넥쏘,수소,프리미엄,1700
더 뉴 팰리세이드,디젤,2.2 2WD,4490
쏘렌토 4세대,디젤,2.2 2WD,2639
K3 쿱,가솔린,1.6 터보 프레스티지,720
더 뉴 그랜저 IG,가솔린,2.5,2040
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,3850
더 뉴 아반떼 AD,가솔린,1.6,1100
K7 프리미어 하이브리드,가솔린+전기,프레스티지,2499
제네시스,가솔린,BH330 그랜드,330
더 뉴 그랜드 스타렉스,디젤,캠핑카,2499
뉴SM3,가솔린,SE,299
SM6,가솔린,2.0 GDe LE,550
EQ900,가솔린,3.3 T-GDI AWD,3649
코란도 투리스모,디젤,4WD TX 11인승,790
셀토스,가솔린,1.6 터보 2WD,1690
더 뉴 레이,가솔린,밴,790
싼타페 (MX5),가솔린+전기,HEV 1.6 2WD,5150
더 뉴 렉스턴 스포츠,디젤,2.2 2WD,1850
뉴코란도 C,디젤,2.0 CVT 2WD,610
렉스턴 스포츠 칸,디젤,2.2 4WD,1650
더 뉴 그랜저 IG,가솔린,2.5,2200
더 뉴 K5,LPG,LPI 디럭스,430
올 뉴 말리부,가솔린,1.5 터보 LTZ,830
더 뉴 렉스턴 스포츠,디젤,2.2 4WD,9999
올 뉴 투싼,디젤,2.0 2WD,1230
셀토스,가솔린,1.6 터보 2WD,1770
아반떼 (CN7),가솔린,1.6,1690
LF 쏘나타,가솔린,1.6 터보 와일드 버건디,850
더 뉴 아이오닉 하이브리드,가솔린+전기,1.6 HEV,1620
올 뉴 카니발,디젤,9인승 노블레스,1290
그랜저 (GN7),가솔린,2.5  2WD,3450
싼타페 DM,디젤,2.2 2WD 프리미엄,950
그랜드 스타렉스,디젤,5인승 밴,870
GV80,가솔린,3.5T  AWD,3600
쏘울,가솔린,1.6 스마트,440
쏘렌토 4세대,가솔린,2.5T 4WD,3920
싼타페 TM,가솔린,2.0T 2WD,2280
아반떼 (CN7),가솔린,1.6,1960
스포티지 4세대,디젤,2.0 2WD 노블레스,1119
K3,가솔린,디럭스,390
스파크,가솔린,LT,230
